ID,IDpartita,IDevento,IDgiocatore,Tempo,Secondi,X,Y
4364,14,13,1,3,70.58449552,0,0
4365,14,15,2,3,70.58449552,156,0
4366,14,10,14,3,95.14270865,0,0
4367,14,2,8,3,96.95575513,40.07009346,39.04761905
4368,14,7,8,3,114.6258149,0,0
4369,14,2,8,3,128.4640294,35.51401869,43.42857143
4370,14,4,-1,3,149.9625009,164,0
4371,14,3,1,3,186.1152852,17.40654206,44.28571429
4372,14,6,1,3,186.1152852,0,0
4373,14,5,8,3,190.8907259,69.27570093,51.9047619
4374,14,11,14,3,204.7308439,0,0
4375,14,8,8,3,210.8957365,0,0
4376,14,5,4,3,210.8957365,39.8364486,10
4377,14,6,14,3,210.8957365,0,0
4378,14,9,4,3,225.8549117,0,0
4379,14,13,1,3,225.8549117,0,0
4380,14,2,-1,3,225.8549117,164,0
4381,14,0,-1,3,225.8549117,164,0
4382,14,5,2,3,247.5708407,11.56542056,94.85714286
4383,14,4,-1,3,258.9328816,158,0
4384,14,19,2,3,262.6953365,0,0
4385,14,19,14,3,262.6953365,0,0
4386,14,18,34,3,262.6953365,0,0
4387,14,18,21,3,262.6953365,0,0
4388,14,19,4,3,262.6953365,0,0
4389,14,18,9,3,262.6953365,0,0
4390,14,3,1,3,266.2597557,34.57943925,35.04761905
4391,14,2,-1,3,279.8113339,161,0
4392,14,9,1,3,311.4428777,0,0
4393,14,19,1,3,321.0163453,0,0
4394,14,18,14,3,321.0163453,0,0
4395,14,13,8,3,343.5803776,0,0
4396,14,7,8,3,351.4454768,0,0
4397,14,5,21,3,375.4158749,32.59345794,8.095238095
4398,14,6,9,3,379.8823834,0,0
4399,14,5,9,3,382.2371017,15.07009346,94.0952381
4400,14,2,-1,3,390.4989703,157,0
4401,14,2,8,3,419.4461818,30.8411215,21.04761905
4402,14,19,34,3,442.3095068,0,0
4403,14,18,13,3,442.3095068,0,0
4404,14,13,9,3,446.0040235,0,0
4405,14,2,-1,3,450.8594175,157,0
4406,14,3,8,3,466.0516946,24.18224299,31.23809524
4407,14,8,14,3,476.2647592,0,0
4408,14,4,8,3,487.3602102,69.04205607,41.9047619
4409,14,15,14,3,500.692254,164,0
4410,14,8,14,3,500.692254,0,0
4411,14,5,8,3,513.0545401,66.12149533,36.28571429
4412,14,6,14,3,513.0545401,0,0
4413,14,15,14,3,513.0545401,161,0
4414,14,1,14,3,513.0545401,0,0
4415,14,0,14,3,513.0545401,0,0
4416,14,2,-1,3,541.2166581,166,0
4417,14,9,14,3,562.3832572,0,0
4418,14,7,21,3,570.5493904,0,0
