IDpartita,IDgiocatore,T1ok,T1err,T2ok,T2err,T3ok,T3err,ROff,RDif,PRec,PPer,Ass,SDat,SSub,FCom,FTec,FSub,Espu,Info,Entr,Usci,Punti,Minuti,ValutazioneLega,ValutazioneOER,ValutazioneVIR
12,14,2,0,4,7,4,2,0,3,5,0,0,0,0,4,0,2,0,0,6,5,22,23.63615607,19,1.222222222,0.9942395
12,16,0,0,0,2,0,2,0,1,0,0,0,0,0,2,1,0,0,0,6,4,0,13.07997854,-5,0,-0.248471356
12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1.996877699,0,0,0
12,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.033877846,-1,0,-14.75890775
13,1,2,3,3,2,1,1,2,5,2,1,0,0,0,5,0,5,0,0,5,6,11,28.87404623,13,1.047619048,0.519497679
13,2,4,3,3,3,2,3,1,0,1,1,0,0,0,3,0,4,0,0,7,5,16,29.79551531,9,1.032258065,0.427916747
13,4,0,0,0,1,0,4,0,2,1,1,3,0,0,3,0,0,0,0,5,5,0,16.00310418,-3,0,0.046865907
13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,8,1,1,3,4,1,2,1,2,1,1,0,0,0,1,0,3,0,0,5,5,10,29.78925633,8,0.833333333,0.310514633
13,9,4,2,1,2,0,3,3,6,4,2,1,0,0,4,0,5,0,0,8,4,6,31.95756992,12,0.545454545,0.422435124
13,13,2,0,0,1,0,0,1,2,1,1,0,0,0,0,0,1,0,0,3,4,2,11.30334867,5,0.666666667,0.398112111
13,14,2,1,2,6,1,4,2,4,4,5,1,2,0,3,0,4,0,0,8,4,9,28.2409723,7,0.461538462,0.336390684
13,21,0,0,0,0,1,2,0,1,1,1,0,0,0,2,0,0,0,0,6,5,3,13.42733013,0,0.75,0.130331196
13,34,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,3,2,0,10.60885693,4,0,0.235652155
14,1,0,0,2,3,0,0,2,0,0,1,0,0,0,3,0,0,0,0,4,3,4,14.19538002,-1,0.666666667,0.123279546
14,2,0,0,0,1,0,6,0,0,1,0,0,0,0,3,0,1,0,0,6,4,0,20.61382785,-8,0,-0.254683411
14,4,0,0,0,1,3,2,0,1,1,3,0,0,0,1,0,0,0,0,4,2,9,14.24114227,4,1,0.456424062
14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,8,2,2,4,4,1,5,0,5,3,1,2,1,1,2,0,2,0,0,6,4,13,34.83175933,11,0.764705882,0.437832332
14,9,0,0,1,1,2,4,2,7,6,2,2,0,0,2,0,2,0,0,5,4,8,35.62174439,18,0.8,0.561472137
14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,13,1,0,1,1,0,2,0,0,1,0,0,0,0,1,0,2,0,0,2,2,3,11.66441823,2,0.666666667,0.192894318
